Type,Category,Flytitle,Headline,Slug,highlighted.Listed,highlight.Index,Days Created,Days Released,Authors,Tags,Keywords,Images,Revisions,Score
article,통계,100 동안의...,폐허에서 보낸 100일,Lee101,1,1,212,123,1,2,1,2,1,2940
graphics,통계,사라진 정책,내가 만든 기린 그림,내가 만든 기린 그림,1,1,310,310,3,4,4,1,3,2540
article,환경,기후 변화...,우리는 지구 온난화를 멈출 수 있을까?,기후-위기-해결책,1,1,281,234,1,1,2,1,2,2520
article,경제,사라진 정책,증시 아랑곳 않던 트럼프...,윤석열 대통령 9차 변론...,1,1,288,279,3,4,4,1,3,2240
article,경제,사라진 정책,MD 속 .astro,마크다운 속 아스트로 컴포넌트,1,1,288,279,3,4,4,1,3,2240
article,데모,새로운 아키텍처,Scroller2 데모: 내가 만든...,scroller2-demo,1,1,16,16,3,3,3,1,3,2150
article,선거,청야전술,투표가 내란을 끝낼 수 있을까?,차트와 함께 하는 2025년...,1,1,266,258,1,1,2,1,2,2130
article,과학,우주 탐사의 미래,인류가 화성에 정착할 날이 올까?,화성-식민지-가능성,1,2,496,470,1,1,2,1,2,2110
article,과학,우주 탐사의 미래,인류가 화성에 정착할 날이 올까?,화성-식민지-가능성,1,2,496,470,1,1,2,1,2,2110
article,건강,미래의 의료 기술,AI가 의사를 대체할 수 있을까?,AI-의료-혁신,1,2,333,315,1,1,2,1,2,2030
article,기술,로봇과 인간,AI 로봇이 인간의 일자리...,로봇-기술-혁신,1,3,400,374,1,1,2,1,2,1910
article,교육,미래의 학습 방식,VR과 AI가 교육을 어떻게...,디지털-학습-혁신,1,3,476,456,1,1,2,1,2,1850
article,스포츠,E-스포츠의 성장,E-스포츠가 올림픽 종목으로...,게임-스포츠-미래,1,4,284,258,1,1,2,1,2,1710
article,사회,인구 변화와 미래,"고령화 사회, 해결책은 있을까?",사회-변화-고령화,1,4,420,400,1,1,2,1,2,1650
article,문화,미래의 예술,AI가 창작자의 역할을 대신...,AI-예술-창작,1,5,514,496,1,1,2,1,2,1430
